GPU Memory Track | 10-Oct-22-08:43:39 | Total Tensor Used Memory:522.6  Mb Total Allocated Memory:6901.0 Mb

+ | 1 * Size:(11107, 256)         | Memory: 10.846 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2406, 256)          | Memory: 2.3496 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4448, 256)          | Memory: 4.3437 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2827, 256)          | Memory: 2.7607 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(698, 256)           | Memory: 0.6816 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 7590)            | Memory: 0.1158 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 6384)            | Memory: 0.0974 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1516, 256)          | Memory: 1.4804 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(7077, 256)          | Memory: 6.9111 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 2056)            | Memory: 0.0313 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 3162)            | Memory: 0.0482 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 22526)           | Memory: 0.3437 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(6842, 256)          | Memory: 6.6816 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1982, 256)          | Memory: 1.9355 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(7171, 256)          | Memory: 7.0029 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(8978, 256)          | Memory: 8.7675 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 7016)            | Memory: 0.1070 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2816, 256)          | Memory: 2.75 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2010, 256)          | Memory: 1.9628 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 6370)            | Memory: 0.0971 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 4176)            | Memory: 0.0637 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(3803, 256)          | Memory: 3.7138 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(6360, 256)          | Memory: 6.2109 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 14866)           | Memory: 0.2268 M | <class 'torch.Tensor'> | torch.int64
+ | 6 * Size:(1, 1, 256)          | Memory: 0.0058 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1665, 256)          | Memory: 1.6259 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 15854)           | Memory: 0.2419 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 3630)            | Memory: 0.0553 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(9737, 256)          | Memory: 9.5087 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(6034, 256)          | Memory: 5.8925 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2122, 256)          | Memory: 2.0722 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(10690, 256)         | Memory: 10.439 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1831, 256)          | Memory: 1.7880 M | <class 'torch.Tensor'> | torch.float32
